bytesize,start_offset,end_offset,1001111111,111101001001000???111,10*11111??1,11?0?1011*111
4096,2571660,2575755,9,0,85,33
4096,2575755,2579850,20,1,88,36
4096,2579850,2583945,35,0,128,42
4096,2583945,2588040,13,0,82,36
4096,2588040,2592135,29,1,116,41
4096,2592135,2596230,27,0,121,42
4096,2596230,2600325,27,1,135,53
4096,2600325,2604420,25,0,91,37
4096,2604420,2608515,23,0,122,43
4096,2608515,2612610,26,0,129,48
4096,2612610,2616705,26,0,127,40
4096,2616705,2620800,35,0,127,36
4096,2620800,2624895,27,0,124,26
4096,2624895,2628990,20,0,100,43
4096,2628990,2633085,13,0,94,33
4096,2633085,2637180,22,0,133,28
4096,2637180,2641275,34,0,118,44
4096,2641275,2645370,39,0,147,27
4096,2645370,2649465,30,0,147,41
4096,2649465,2653560,27,0,90,30
4096,2653560,2657655,32,0,131,34
4096,2657655,2661750,20,0,85,26
4096,2661750,2665845,32,0,123,29
4096,2665845,2669940,30,0,137,42
4096,2669940,2674035,21,0,93,29
4096,2674035,2678130,14,0,156,31
4096,2678130,2682225,25,0,132,40
4096,2682225,2686320,33,0,104,36
4096,2686320,2690415,27,0,177,51
4096,2690415,2694510,16,0,75,29
4096,2694510,2698605,30,0,99,23
4096,2698605,2702700,29,1,131,36
4096,2702700,2706795,28,1,133,29
4096,2706795,2710890,23,0,133,24
4096,2710890,2714985,40,0,125,45
4096,2714985,2719080,32,0,116,31
4096,2719080,2723175,29,0,95,32
4096,2723175,2727270,27,0,99,25
4096,2727270,2731365,28,0,163,33
4096,2731365,2735460,31,0,129,55
4096,2735460,2739555,30,0,126,36
4096,2739555,2743650,20,0,125,47
4096,2743650,2747745,19,0,106,33
4096,2747745,2751840,27,0,104,43
4096,2751840,2755935,29,0,117,38
4096,2755935,2760030,32,0,111,36
4096,2760030,2764125,28,0,103,27
4096,2764125,2768220,27,0,130,42
4096,2768220,2772315,31,0,166,76
4096,2772315,2776410,29,1,108,46
4096,2776410,2780505,24,0,127,37
4096,2780505,2784600,18,0,110,21
4096,2784600,2788695,6,0,48,32
4096,2788695,2792790,16,0,77,39
4096,2792790,2796885,20,0,89,33
4096,2796885,2800980,26,0,106,39
4096,2800980,2805075,5,0,41,13
4096,2805075,2809170,18,1,82,33
4096,2809170,2813265,5,0,28,10
4096,2813265,2817360,23,0,81,25
4096,2817360,2821455,0,0,33,10
4096,2821455,2825550,3,0,26,11
4096,2825550,2829645,0,0,16,15
4096,2829645,2833740,16,0,57,19
4096,2833740,2837835,27,0,122,39
4096,2837835,2841930,21,0,111,28
4096,2841930,2846025,34,0,155,41
4096,2846025,2850120,25,0,72,24
4096,2850120,2854215,25,0,109,33
4096,2854215,2858310,23,0,116,39
4096,2858310,2862405,26,0,109,51
4096,2862405,2866500,13,0,75,24
4096,2866500,2870595,7,0,29,21
4096,2870595,2874690,19,0,61,27
4096,2874690,2878785,17,0,88,34
4096,2878785,2882880,33,0,142,32
4096,2882880,2886975,18,0,81,19
4096,2886975,2891070,28,1,126,22
4096,2891070,2895165,37,0,134,29
4096,2895165,2899260,34,0,116,22
4096,2899260,2903355,32,0,127,44
4096,2903355,2907450,26,0,81,25
4096,2907450,2911545,28,0,160,32
4096,2911545,2915640,32,0,142,27
4096,2915640,2919735,40,0,143,33
4096,2919735,2923830,32,1,136,20
4096,2923830,2927925,40,0,128,26
4096,2927925,2932020,33,0,149,33
4096,2932020,2936115,30,0,146,24
4096,2936115,2940210,43,0,149,37
4096,2940210,2944305,37,0,144,44
4096,2944305,2948400,33,0,136,36
4096,2948400,2952495,48,0,161,41
4096,2952495,2956590,36,0,136,40
4096,2956590,2960685,39,0,136,21
4096,2960685,2964780,42,0,139,23
4096,2964780,2968875,43,0,166,40
4096,2968875,2972970,37,0,150,23
4096,2972970,2977065,40,0,137,37
4096,2977065,2981160,39,1,149,31
4096,2981160,2985255,37,0,121,39
4096,2985255,2989350,24,0,108,20
4096,2989350,2993445,30,0,120,39
4096,2993445,2997540,38,0,101,30
4096,2997540,3001635,33,0,121,39
